종목코드,종목명,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"184230","SGA솔루션즈","벤처기업부","464","10","2.20","454","465","453","28421","13061620","29046010704","62599161"
"016250","SGC E&C","우량기업부","12700","-610","-4.58","13200","13280","12330","4015","51558100","41193529500","3243585"
"048550","SM C&C","중견기업부","1400","-9","-0.64","1394","1419","1389","75464","105801322","135400468000","96714620"
"063440","SM Life Design","중견기업부","1260","7","0.56","1253","1265","1232","84320","105747143","57996734040","46029154"
"067160","SOOP","우량기업부","90900","-800","-0.87","91600","91600","90200","38807","3526963300","1044874320300","11494767"
"289080","SV인베스트먼트","중견기업부","1323","23","1.77","1295","1327","1295","72886","96063505","70428582000","53234000"
"089230","THE E&M","중견기업부","868","-10","-1.14","876","878","863","19316","16786108","18994403204","21882953"
"032540","TJ미디어","우량기업부","4695","5","0.11","4825","4825","4640","4978","23296975","65408904255","13931609"
"022220","TKG애강","우량기업부","968","6","0.62","939","980","939","75503","72989442","50137152472","51794579"
"048770","TPC","벤처기업부","1955","79","4.21","1890","1990","1837","44569","86576563","30689572405","15697991"
"246690","TS인베스트먼트","중견기업부","914","10","1.11","905","928","890","50811","46393937","37910765868","41477862"
"317240","TS트릴리온","관리종목(소속부없음)","279","0","0.00","0","0","0","0","0","29920217238","107240922"
"057030","YBM넷","중견기업부","4410","105","2.44","4305","4430","4180","72979","316469975","71938993770","16312697"
"040300","YTN","우량기업부","3070","-45","-1.44","3120","3175","3070","307985","962990320","128940000000","42000000"
"051390","YW","벤처기업부","3615","-5","-0.14","3620","3650","3600","5694","20582000","41049655320","11355368"
"052220","iMBC","중견기업부","3340","80","2.45","3240","3375","3215","652878","2169154540","76820000000","23000000"
"079940","가비아","우량기업부","16470","20","0.12","16410","16500","15400","30648","499995700","222932715480","13535684"
"078890","가온그룹","중견기업부","2975","25","0.85","2900","3005","2900","9987","29597960","52163364400","17533904"
"399720","가온칩스","벤처기업부","39100","1350","3.58","37750","39150","37200","119288","4588635900","453455212000","11597320"
"036620","감성코퍼레이션","우량기업부","3080","-45","-1.44","3150","3190","3010","499917","1551932310","281771754880","91484336"
"198440","강동씨앤엘","중견기업부","1203","3","0.25","1230","1230","1187","33176","39828265","73301070888","60931896"
"217730","강스템바이오텍","기술성장기업부","2020","134","7.10","1811","2025","1811","310441","609173343","113229380980","56054149"
"114190","강원에너지","우량기업부","8950","80","0.90","8870","9040","8800","74847","670051640","233801190100","26123038"
"094480","갤럭시아머니트리","중견기업부","7620","10","0.13","7540","7670","7450","318313","2420681670","298931365560","39229838"
